Date,Open,High,Low,Close,Adj Close,Volume
2019-08-14,81.239998,81.690002,80.510002,81.029999,77.932030,7266100
2019-08-15,80.930000,81.300003,79.440002,79.510002,76.470139,6713600
2019-08-16,80.089996,80.559998,79.250000,80.279999,77.210701,5649000
2019-08-19,82.000000,82.339996,80.830002,81.129997,78.028206,7027900
2019-08-20,80.720001,81.230003,79.449997,80.529999,77.451149,5903100
2019-08-21,81.940002,82.839996,81.629997,82.739998,79.576653,6454200
2019-08-22,83.000000,83.720001,82.500000,83.309998,80.124863,5571600
2019-08-23,82.019997,82.760002,80.029999,80.440002,77.364601,8497800
2019-08-26,81.440002,82.279999,80.739998,82.250000,79.105392,4336000
2019-08-27,82.629997,83.180000,82.000000,82.029999,78.893806,3842500
2019-08-28,81.900002,83.589996,81.720001,83.480003,80.288376,4123700
2019-08-29,84.220001,85.769997,84.169998,85.379997,82.115730,5101900
2019-08-30,85.699997,85.989998,84.410004,84.500000,81.479324,5235400
2019-09-03,84.000000,84.830002,83.620003,84.669998,81.643242,6360800
2019-09-04,85.580002,86.500000,85.500000,86.349998,83.263191,4151200
2019-09-05,87.279999,88.620003,87.279999,88.419998,85.259171,6328400
2019-09-06,88.400002,88.980003,88.019997,88.690002,85.519547,3625300
2019-09-09,88.940002,89.349998,88.419998,88.669998,85.500244,4282400
2019-09-10,88.260002,88.629997,86.290001,86.830002,83.726028,7072400
2019-09-11,86.959999,87.250000,85.870003,86.750000,83.648895,4623300
2019-09-12,87.099998,88.070000,86.220001,87.669998,84.535988,4057500
2019-09-13,88.250000,88.790001,87.300003,87.320000,84.198509,5894700
2019-09-16,87.089996,87.820000,86.669998,87.269997,84.150291,4171700
2019-09-17,86.769997,87.639999,86.470001,87.589996,84.458855,3248400
2019-09-18,87.650002,88.400002,87.209999,88.080002,84.931351,4722200
2019-09-19,88.400002,88.720001,87.510002,87.699997,84.564919,4231200
2019-09-20,88.000000,88.489998,86.669998,86.680000,83.581383,6991100
2019-09-23,86.980003,88.019997,86.800003,87.690002,84.555275,4790000
2019-09-24,88.449997,88.690002,86.760002,87.180000,84.063507,10202900
2019-09-25,91.779999,92.790001,90.150002,90.809998,87.563751,25330700
2019-09-26,91.620003,92.449997,90.250000,92.169998,88.875130,10408300
2019-09-27,91.849998,92.860001,91.599998,92.309998,89.010132,6420500
2019-09-30,92.529999,94.080002,92.500000,93.919998,90.562576,7401200
2019-10-01,94.129997,94.750000,92.059998,92.279999,88.981209,8464900
2019-10-02,91.470001,91.839996,90.570000,91.489998,88.219444,6933900
2019-10-03,91.309998,92.320000,90.349998,92.220001,88.923347,5762300
2019-10-04,92.220001,93.169998,91.930000,93.070000,89.742958,4551400
2019-10-07,92.500000,93.919998,92.400002,93.169998,89.839378,4975400
2019-10-08,90.449997,92.709999,90.410004,91.750000,88.470161,6916800
2019-10-09,92.410004,93.050003,91.820000,92.519997,89.212624,5115900
2019-10-10,93.500000,93.500000,92.720001,93.000000,89.675468,5794100
2019-10-11,94.000000,94.570000,93.559998,93.879997,90.524002,6220100
2019-10-14,94.199997,95.250000,94.050003,94.879997,91.488243,4636000
2019-10-15,95.000000,95.180000,94.120003,94.790001,91.401474,4292500
2019-10-16,94.089996,95.139999,94.070000,94.879997,91.488243,4883300
2019-10-17,95.570000,95.889999,94.970001,95.559998,92.143951,3427400
2019-10-18,94.809998,96.459999,94.800003,96.099998,92.664642,6209200
2019-10-21,96.610001,96.870003,95.419998,96.220001,92.780350,5185800
